id,title,year,language,era,director,lead_actor,lead_gender,imdb_rating,has_action,has_comedy,has_romance,has_songs,has_villain,has_thriller_elements,has_social_message,is_anti_hero,is_family_film,is_based_on_true_story,is_biographical,is_franchise,is_remake,is_sports_film,is_historical,is_horror,is_sci_fi,is_pan_india_blockbuster
tt4559006,Ae Dil Hai Mushkil,2016,hindi,2010s,Karan Johar,,male,5.9,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5286444,Neerja,2016,hindi,2010s,Ram Madhvani,,male,7.6,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0315642,Wazir,2016,hindi,2010s,Bejoy Nambiar,,male,7.1,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt3702652,The Other Side of the Door,2016,hindi,2010s,Johannes Roberts,,male,5.3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
tt5713232,Madaari,2016,hindi,2010s,Nishikant Kamat,,male,7.6,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1615160,The Foreigner,2017,hindi,2010s,Martin Campbell,,male,7.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3405236,Raees,2017,hindi,2010s,Rahul Dholakia,,male,6.6,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt5956100,Tiger Zinda Hai,2017,hindi,2010s,Ali Abbas Zafar,,male,5.9,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt5764096,Hindi Medium,2017,hindi,2010s,Saket Chaudhary,,male,7.9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5460276,Kaabil,2017,hindi,2010s,Sanjay Gupta,,male,7.2,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt6108090,Secret Superstar,2017,hindi,2010s,Advait Chandan,,male,7.7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5982852,Jolly LLB 2,2017,hindi,2010s,Subhash Kapoor,,male,7.2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt6967980,Bareilly Ki Barfi,2017,hindi,2010s,Ashwiny Iyer Tiwari,,male,7.5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt6826438,Parmanu: The Story Of Pokhran,2017,hindi,2010s,Abhishek Sharma,,male,7.6,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5785170,Toilet - Ek Prem Katha,2017,hindi,2010s,Shree Narayan Singh,,male,7.2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5997666,Jab Harry Met Sejal,2017,hindi,2010s,Imtiaz Ali,,male,5.1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5882970,Tubelight,2017,hindi,2010s,Kabir Khan,,male,4.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt6484982,Newton,2017,hindi,2010s,Amit Masurkar,,male,7.6,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt6692354,Ittefaq,2017,hindi,2010s,,,male,7.2,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt6299040,The Ghazi Attack,2017,hindi,2010s,Sankalp Reddy,,male,7.5,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt6277440,Badrinath Ki Dulhania,2017,hindi,2010s,Shashank Khaitan,,male,6.1,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
andhadhun_2018,Andhadhun,2018,hindi,2010s,Sriram Raghavan,Ayushmann Khurrana,male,8.2,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False
tumbbad_2018,Tumbbad,2018,hindi,2010s,Rahi Anil Barve,Sohum Shah,male,8.2,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
